LOF折溢价研究(方向2, 研究版)
样本: 成交额前80只, 2005-04-29 ~ 2026-09-18

[R0] 折价率中位 -0.39% | 折价占比 46.4%

[R1] 横截面(月度) 深折价/中间/溢价 次月收益:
                deep       mid      prem        ls   n
date                                                  
2023-08-31 -0.030256  0.003555 -0.029211 -0.001045  78
2023-09-30 -0.022156 -0.026918 -0.025324  0.003169  78
2023-10-31  0.036176  0.013510 -0.000807  0.036982  78
2023-11-30 -0.009847  0.000502 -0.015043  0.005196  79
2023-12-31 -0.094322 -0.061588 -0.126893  0.032571  78
2024-01-31  0.135322  0.082330  0.033318  0.102004  78
2024-02-29  0.040107  0.015264  0.018083  0.022024  78
2024-03-31  0.009387  0.018596 -0.006580  0.015967  79
2024-04-30 -0.021177 -0.004057  0.001333 -0.022510  79
2024-05-31 -0.006500 -0.000825 -0.019842  0.013342  79
2024-06-30 -0.001110 -0.002603 -0.008419  0.007309  78
2024-07-31 -0.016178 -0.044614 -0.033756  0.017578  78
2024-08-31  0.038745  0.162660  0.153503 -0.114758  77
2024-09-30  0.023119  0.019198  0.024873 -0.001754  77
2024-10-31  0.017741  0.003289  0.004992  0.012749  79
2024-11-30 -0.000956 -0.002021 -0.018951  0.017995  79
2024-12-31  0.020047 -0.010787  0.015205  0.004842  79
2025-01-31  0.039638  0.017886  0.008335  0.031303  79
2025-02-28 -0.021107  0.002605 -0.007077 -0.014030  79
2025-03-31 -0.013695 -0.037736 -0.020626  0.006932  79
2025-04-30  0.027174  0.010802 -0.005458  0.032632  79
2025-05-31  0.053724  0.038403  0.037081  0.016643  79
2025-06-30  0.058124  0.047219  0.070666 -0.012542  79
2025-07-31  0.154785  0.091089  0.090324  0.064461  80
2025-08-31  0.075181  0.036529  0.023420  0.051762  80
2025-09-30 -0.002989  0.000189 -0.002749 -0.000240  80
2025-10-31 -0.041657 -0.007399 -0.004855 -0.036802  80
2025-11-30  0.038856  0.019929  0.051383 -0.012526  80
2025-12-31  0.098190  0.091440  0.139952 -0.041762  80
2026-01-31  0.000884 -0.001429 -0.020329  0.021213  80
2026-02-28 -0.077577 -0.049953  0.041190 -0.118767  80
2026-03-31  0.224575  0.078837  0.023393  0.201183  80
2026-04-30  0.057986  0.053473  0.057082  0.000904  80
2026-05-31  0.186927  0.036126 -0.036627  0.223554  80
2026-06-30 -0.019801 -0.048058 -0.228514  0.208712  80
2026-07-31  0.049003  0.061970  0.083163 -0.034160  80
2026-08-31 -0.015819  0.008173  0.007474 -0.023293  80

[R2] 自身异常折价(z<-1.5) 次月收益:
             n      deep  deep_n    normal
date                                      
2018-05-31  25  0.006785       3 -0.008718
2019-02-28  40  0.024882       3  0.042085
2019-06-30  41  0.042014       4  0.027523
2020-01-31  45  0.062649      11 -0.027322
2020-02-29  45 -0.085170      19 -0.125830
2020-10-31  46  0.073849       9  0.053391
2021-02-28  50 -0.033548       4 -0.026386
2021-07-31  54 -0.022420       3  0.014445
